affiliation,category,instructors,nanodegree,skill_level,skills,summary,title,url
Collaboration WithGeorgia Institute of Technology,School of Artificial Intelligence,"['Charles Isbell', 'Michael Littman', 'Chris Pryby']",Artificial Intelligence,advanced,"['Temporal Difference Learning, ', 'Value Iteration, ', 'Policy Iteration, ', 'Reward Shaping, ', 'Game Theory']","You should take this course if you have an interest in machine learning and the desire to engage with it from a theoretical perspective. Through a combination of classic papers and more recent work, you will explore automated decision-making from a computer-science perspective. You will examine efficient algorithms, where they exist, for single-agent and multi-agent planning as well as approaches to learning near-optimal decisions from experience. At the end of the course, you will replicate a result from a published paper in reinforcement learning.",Reinforcement Learning,https://www.udacity.com/course/reinforcement-learning--ud600
,School of Development,['Richard Kalehoff'],React,beginner,"['Git, ', 'Version Control, ', 'Creating a Git repo, ', 'Editing commits']","This course covers the essentials of using the version control system Git. You'll be able to create a new Git repo, commit changes, and review the commit history of an existing repo. You'll also learn how to keep your commits organized using tags and branches and you'll master the art of merging changes by crushing those pesky merge conflicts. Oh no! Was a mistake made along the way? Learn how to edit commits, revert changes, or even delete commits.",Version Control with Git,https://www.udacity.com/course/version-control-with-git--ud123
Collaboration WithGoogle,School of Development,"['Cameron Pittman', 'Ilya Grigorik']",Front-End Web Developer,intermediate,"['Chrome Developer Tools, ', 'DOM and CSSOM, ', 'Critical Rendering Path HTML, ', 'CSS and JavaScript optimizations']","You will learn how to optimize any website for speed by diving into the details of how mobile and desktop browsers render pages., In this short course, you’ll learn about the Critical Rendering Path, or the set of steps browsers must take to convert HTML, CSS and JavaScript into living, breathing websites. From there, you’ll start exploring and experimenting with tools to measure performance and simple strategies to deliver the first pixels to the screen as early as possible. You’ll learn how to dive into recommendations from PageSpeed Insights and the Timeline view of Google Chrome’s Developer Tools to find the data you need to achieve immediate performance boosts!, This course is also a part of our Front-End Web Developer Nanodegree.",Website Performance Optimization,https://www.udacity.com/course/website-performance-optimization--ud884
Collaboration WithCloudera,School of Artificial Intelligence,"['Sarah Sproehnle', 'Ian Wrigley', 'Gundega Dekena']",Flying Cars & Autonomous Flight,intermediate,"['Big Data, ', 'Hadoop, ', 'MapReduce']","The Apache™ Hadoop® project develops open-source software for reliable, scalable, distributed computing. Learn the fundamental principles behind it, and how you can use its power to make sense of your Big Data.",Intro to Hadoop and MapReduce,https://www.udacity.com/course/intro-to-hadoop-and-mapreduce--ud617
,School of Development,"['Aaron Sarazan', 'Jose Nieto']",Flying Cars & Autonomous Flight,advanced,"['Kotlin, ', 'Android']","In this course, Aaron Sarazan, Lead Software Engineer at Capital One and a leading advocate for Kotlin, demonstrates how to take a basic Android app in Java and convert it to Kotlin, teaching you key features of the Kotlin programming language along the way. This is an efficient, fast-paced introduction to Kotlin for experienced Java programmers.",Kotlin for Android Developers,https://www.udacity.com/course/kotlin-for-android-developers--ud888
Collaboration WithGeorgia Institute of Technology,School of Artificial Intelligence,['Sebastian Thrun'],Self-Driving Car Engineer,advanced,"['Probabilistic Models, ', 'Kalman Filters, ', 'Motion Planning, ', 'Robot Control, ', 'Simultaneous Localization & Mapping']","Learn how to program all the major systems of a robotic car from the leader of Google and Stanford's autonomous driving teams. This class will teach you basic methods in Artificial Intelligence, including: probabilistic inference, planning and search, localization, tracking and control, all with a focus on robotics. Extensive programming examples and assignments will apply these methods in the context of building self-driving cars., This course is offered as part of the Georgia Tech Masters in Computer Science. The updated course includes a final project, where you must chase a runaway robot that is trying to escape!",Artificial Intelligence for Robotics,https://www.udacity.com/course/artificial-intelligence-for-robotics--cs373
Collaboration WithGeorgia Institute of Technology,School of Development,"['Ada Gavrilovska', 'Jarrod Parkes']",Flying Cars & Autonomous Flight,intermediate,"['Processes & Threads, ', 'Memory Management, ', 'Inter-Process Communication, ', 'Resource Virtualization, ', 'Distributed File Systems']","Introduction to Operating Systems is a graduate-level introductory course in operating systems. This course teaches the basic operating system abstractions, mechanisms, and their implementations. The core of the course contains concurrent programming (threads and synchronization), inter process communication, and an introduction to distributed operating systems. The course is split into four sections: (1) Introduction, (2) Process and Thread Management, (3) Resource Management and Communication, and (4) Distributed Systems.",Introduction to Operating Systems,https://www.udacity.com/course/introduction-to-operating-systems--ud923
,School of Development,['Karl Krueger'],Full Stack Web Developer,beginner,"['HTTP, ', 'Domain Name System, ', 'Ping, ', 'TCP/IP stack, ', 'IP addressing']","How does the Web work? Under the hood of HTTP there's a whole stack of networking protocols., Explore the underpinnings of the net with tools like traceroute, tcpdump, and nc.",Networking for Web Developers,https://www.udacity.com/course/networking-for-web-developers--ud256
Collaboration WithAmazon Web Services,School of Development,['Lorenzo Brown'],Full Stack Web Developer,intermediate,"['Flask, ', 'CRUD, ', 'Model-View-Controller, ', 'Python, ', 'Object-relational Mapping']","In this course you will learn the fundamentals of back-end web development! You will create your own web application that queries a database for items on restaurant menus and then dynamically generates complete menus in the form of web pages and API endpoints., You’ll start by learning how to interact with a database from a web application using an Object-Relational Mapping (ORM) layer. From there, you’ll learn how GET and POST requests translate to CRUD operations. You’ll then explore the Flask framework and the various ways in which it can speed up the development of your applications. Finally, you’ll develop your very own web application from the ground up using the iterative development process.",Full Stack Foundations,https://www.udacity.com/course/full-stack-foundations--ud088
,School of Development,['Jarrod Parkes'],Become an iOS Developer,intermediate,"['Swift, ', 'UIKit, ', 'AVFoundation']","In this course we will build an iPhone app that records a conversation between you and a friend, and then makes your voices sound like a Chipmunk or Darth Vader., This course will introduce you to iOS app development in Swift, a new programming language from Apple, and serves as your launching point into the iOS Developer Nanodegree.",Intro to iOS App Development with Swift,https://www.udacity.com/course/intro-to-ios-app-development-with-swift--ud585
Collaboration WithGrow With Google,Career Advancement,,Data Analyst Nanodegree,intermediate,"['Interview practice, ', 'Python, ', 'Data structures and Algorithms']","Technical interviews follow a pattern. If you know the pattern, you’ll be a step ahead of the competition. This course will introduce you to common data structures and algorithms in Python. You'll review frequently-asked technical interview questions and learn how to structure your responses.You will answer practice problems and quizzes to test your abilities. Then you'll practice mock interviews to get specific recommendations for improvement. Be ready for anything the technical interviewer throws at you.",Data Structures & Algorithms in Python,https://www.udacity.com/course/data-structures-and-algorithms-in-python--ud513
,School of Autonomous Systems,['Jarrod Parkes'],Digital Marketing,beginner,"['Variables and Constants, ', 'Strings, ', 'Control Flow, ', 'Functions']","In this course, you’ll begin learning Swift, Apple's programming language for building iOS applications. You'll start with fundamentals and work your way towards understanding all the core principles necessary to get started creating your first app. At the end of the course, you'll complete a problem set of exercises designed to challenge your understanding of Swift and give you the opportunity to apply what you've learned.",Swift for Beginners,https://www.udacity.com/course/swift-for-beginners--ud1022
Collaboration WithHack Reactor,School of Development,"['Michael Wales', 'Marcus Phillips']",Front-End Web Developer,intermediate,,"Have you been dabbling with JavaScript but find your files keep turning into a mess of spaghetti code? Do you find yourself copying and pasting lines of code over and over throughout your application? Surely there’s a better way, right? , Yes, there is a better way -- object-oriented programming will allow you to build websites using reusable blocks of code known as libraries, similar to using bricks to build a house. This course is designed to teach web developers how to utilize the various object-oriented programming features within JavaScript, and more importantly, how to write reusable and maintainable libraries that will make your life easier.",Object-Oriented JavaScript,https://www.udacity.com/course/object-oriented-javascript--ud015
Collaboration WithGoogle,School of Development,"['Pete LePage', 'Michael Wales']",Google AdWords,intermediate,"['Progressive Web Apps, ', 'Service Workers, ', 'Web App Manifest, ', 'Offline apps']","In this course you’ll get started working on your very first Progressive Web App (PWA) - a web app that can take advantage of many of the features native applications have enjoyed. You’ll also get more experience in creating a web app that works offline using Service Workers. Finally, you’ll make your app installable to the user’s home screen with the Web App Manifest file.",Intro to Progressive Web Apps,https://www.udacity.com/course/intro-to-progressive-web-apps--ud811
,School of Artificial Intelligence,['Chris Pryby'],Intro to Self-Driving Cars,intermediate,"['Algebra, ', 'Python, ', 'Vectors, ', 'Intersections']","This mini-course is intended for students who would like a refresher on the basics of linear algebra. The course attempts to provide the motivation for ""why"" linear algebra is important in addition to ""what"" linear algebra is., Students will learn concepts in linear algebra by applying them in computer programs. At the end of the course, you will have coded your own personal library of linear algebra functions that you can use to solve real-world problems.",Linear Algebra Refresher Course,https://www.udacity.com/course/linear-algebra-refresher-course--ud953
,School of Development,['Richard Kalehoff'],Become an iOS Developer,beginner,"['Repositories, ', 'Fork a repository, ', 'Create and Send a Pull Request, ', 'Remote Repositories, ', 'Collaborative projects']","This course covers the essentials of working with remote repositories. You'll be able to connect to a remote repository, get changes from a remote repository, and send changes to a remote repository. You'll also learn how to work collaboratively. You'll fork another developer's repository, make changes to it, and then send them a pull request. You'll also pick up some Git tips and tricks that make working with collaborators a breeze.",GitHub & Collaboration,https://www.udacity.com/course/github-collaboration--ud456
Collaboration WithGoogle,School of Development,"['Cameron Pittman', 'Sam Dutton']",Mobile Web Specialist,intermediate,"['Responsive Images, ', 'Mobile Image debugging, ', 'Creating responsive graphics']","Did you know that images account for more than 60% of the bytes on average needed to load a web page?, In this course you will learn how to work with images on the modern web, so that your images look great and load quickly on any device., Along the way, you will pick up a range of skills and techniques to smoothly integrate responsive images into your development workflow. By the end of the course, you will be developing with images that adapt and respond to different viewport sizes and usage scenarios.",Responsive Images,https://www.udacity.com/course/responsive-images--ud882
,School of Development,['Lorenzo Brown'],Full Stack Web Developer,intermediate,"['Flask, ', 'REST APIs, ', 'Python']","API (Application Programming Interface) endpoints are the connections between your application and the rest of the developer community.  In this course you will learn about writing secure, developer-friendly APIs that will make your back-end application thrive and keep your users happy.  , At the end of this course you will create the back-end for a social application called ""Meet n' Eat"" that matches together users based on their location and food interests.",Designing RESTful APIs,https://www.udacity.com/course/designing-restful-apis--ud388
,School of Development,"['Cameron Pittman', 'James Parkes']",Front-End Web Developer,beginner,,"Throughout this course, you'll learn about the underlying structure of the web - HTML. You'll learn how to use this tree-like structure to create websites. You'll also learn how to apply styling to a website through CSS. You'll learn about CSS syntax, selectors, and units. Along the way, you'll also learn about code editors and a browser's Developer Tools.",Intro to HTML and CSS,https://www.udacity.com/course/intro-to-html-and-css--ud304
,School of Development,['Mat Leonard'],Business Analyst,beginner,"['Tableau, ', 'Design of Visualizations, ', 'Visual Encodings']","Learn the fundamentals of data visualization and practice communicating with data. This course covers how to apply design principles, human perception, color theory, and effective storytelling with data. If you present data to others, aspire to be a business analyst or data scientist, or if you’d like to become more effective with visualization tools, then you can grow your skills with this course., This course is part of both the Business Analyst and Data Analyst Nanodegree Programs.",Data Visualization in Tableau,https://www.udacity.com/course/data-visualization-in-tableau--ud1006
Collaboration WithGoogle,School of Development,['Cameron Pittman'],Front-End Web Developer,advanced,"['Native JavaScript Promises, ', 'Asynchronous code, ', 'Advanced error handling, ', 'Generating sequences of async work']","Learn how to handle asynchronous work with ease! In this course, you'll use Native JavaScript Promises to write asynchronous code that is easy to read, easy to write and easy to debug., Along the way, you'll be using Promises to make a webapp come to life!",JavaScript Promises,https://www.udacity.com/course/javascript-promises--ud898
,School of Development,"['Richard Kalehoff', 'James Parkes']",Front-End Web Developer,advanced,"['JavaScript, ', 'ES6, ', 'Syntax, ', 'Functions']","ECMAScript 6, or ES6, has brought about a ton of changes to the JavaScript programming language. In this course, you'll explore those changes to learn about the latest features and improvements to the language including new keywords, arrow functions, the Class syntax, Promises, and so much more. Discover how much cleaner and more concise your JavaScript code can be!",ES6 - JavaScript Improved,https://www.udacity.com/course/es6-javascript-improved--ud356
,School of Development,['Ben Jaffe'],Full Stack Web Developer,advanced,"['Separating concerns, ', 'Code organization, ', 'Using an Organizational Library, ', 'KnockoutJS']","This course covers methods for organizing your code, both conceptually and literally. You’ll learn the importance of separating concerns when writing JavaScript, gaining hands-on experience along the way. Separating concerns can be done with or without an organizational library or framework. We’ll learn how to separate concerns without one, and then we’ll explore an organizational library together. You’ll also learn strategies for exploring other libraries and frameworks on your own., By the end of this course, you’ll understand (from experience) the importance of code organization, and how to implement it with either vanilla JavaScript or an organizational library or framework. Your applications will start looking clean and professional—not just to your users, but also to anyone who looks at the code driving your applications.",JavaScript Design Patterns,https://www.udacity.com/course/javascript-design-patterns--ud989
Collaboration WithMongoDB,School of Development,"['Gundega Dekena', 'Shannon Bradshaw']",Data Analyst,intermediate,"['Gathering Data, ', 'Assessing Data, ', 'Cleaning Data, ', 'Data Wrangling, ', 'MongoDB']","In this course, we will explore how to wrangle data from diverse sources and shape it to enable data-driven applications. Some data scientists spend the bulk of their time doing this!, Students will learn how to gather and extract data from widely used data formats. They will learn how to assess the quality of data and explore best practices for data cleaning. We will also introduce students to MongoDB, covering the essentials of storing data and the MongoDB query language together with exploratory analysis using the MongoDB aggregation framework., This is a great course for those interested in entry-level data science positions as well as current business/data analysts looking to add big data to their repertoire, and managers working with data professionals or looking to leverage big data., This course is also a part of our Data Analyst Nanodegree.",Data Wrangling with MongoDB,https://www.udacity.com/course/data-wrangling-with-mongodb--ud032
,School of Development,"['John Regehr', 'Sean Bennett']",Android Developer,intermediate,"['Software Testing, ', 'Debugging, ', 'Code Coverage']","When writing software, destruction can be just as valuable as creation. Learn how to catch bugs and break software as you discover different testing methods that will help you build better software.",Software Testing,https://www.udacity.com/course/software-testing--cs258
Collaboration WithGoogle,School of Development,"['Roman Nurik', 'James Williams', 'Nick Butcher']",Android Developer,intermediate,"['Android, ', 'Material Design, ', 'Surfaces, ', 'Graphic Design']","In this course, you'll learn how to apply the material design principles that define Android's visual language to your apps. We'll start by walking you through Android design fundamentals, then we'll show you how to apply this knowledge to transform design elements of sample apps. By the end of the course, you'll understand how to create and use material design elements, surfaces, transitions and graphics in your app, across multiple form factors.",Material Design for Android Developers,https://www.udacity.com/course/material-design-for-android-developers--ud862
,School of Development,['Cameron Pittman'],Full Stack Web Developer,intermediate,"['Asynchronous requests with JavaScript, ', 'Data APIs, ', 'Web Applications, ', 'Site Customization']","In this course you will learn how to make asynchronous requests with JavaScript (using jQuery’s AJAX functionality), and gain a better understanding of what’s actually happening when you do so. You will also learn how to use data APIs so you can take advantage of freely accessible data in your applications, including photo results, news articles and up-to-date data about the world around us., As part of the course, you’ll be building a web app that will help people learn about a place where they want to move! Your app will query the Google Streetview, Wikipedia and New York Times APIs!, This course is also a part of our Front-End Web Developer Nanodegree.",Intro to AJAX,https://www.udacity.com/course/intro-to-ajax--ud110
Collaboration WithGoogle,School of Artificial Intelligence,"['Carrie Grimes', 'Caroline Buckey', 'Diane Tang']",Data Analyst,intermediate,"['A/B Testing, ', 'Experiment Design, ', 'Statistics']","This course will cover the design and analysis of A/B tests, also known as split tests, which are online experiments used to test potential improvements to a website or mobile application. Two versions of the website are shown to different users - usually the existing website and a potential change. Then, the results are analyzed to determine whether the change is an improvement worth launching. This course will cover how to choose and characterize metrics to evaluate your experiments, how to design an experiment with enough statistical power, how to analyze the results and draw valid conclusions, and how to ensure that the the participants of your experiments are adequately protected.",A/B Testing,https://www.udacity.com/course/ab-testing--ud257
Collaboration WithNutanix,School of Development,"['Karl Krueger', 'Dwayne Lessner', 'Gundega Dekena']",Digital Marketing,advanced,"['DevOps, ', 'CAMS principles, ', 'Continuous Integration, ', 'Delivery workflows']","The goal of this course is to take existing IT professionals, whether they come from software development or operations, and help them appreciate the challenges facing companies who are looking to embrace scalable software deployment as well as the architectures and thought processes they can use to address these challenges. , Students will start with a presentation of the problem as it stands today, then dive into the DevOps workflow and a survey of the system architectures currently being used to address this problem.",Intro to DevOps,https://www.udacity.com/course/intro-to-devops--ud611
,School of Development,"['Cameron Pittman', 'James Williams']",Front-End Web Developer,beginner,"['HTML5 Canvas, ', 'Canvas2D, ', 'Creating animation']","Canvas is an HTML5 element which gives you drawable surface inside your web pages you can control with JavaScript. Powerful enough to use for compositing images and even creating games., In this course, through several sample projects, you’ll learn how to use the canvas; how to make compositions using shapes, images, and text; how to create effects and filters on images and how to create animations.",HTML5 Canvas,https://www.udacity.com/course/html5-canvas--ud292
Collaboration WithGeorgia Institute of Technology,School of Development,"['Spencer Rugaber', 'Eric Feron', 'Jarrod Parkes']",Flying Cars & Autonomous Flight,intermediate,"['Unified Modeling Language, ', 'Object Constraint Language, ', 'Software Architecture, ', 'Software Design, ', 'Code Review']","Software Architecture and Design teaches the principles and concepts involved in the analysis and design of large software systems. This course is split into four sections: (1) Introduction, (2) UML and Analysis, (3) Software Architecture, and (4) Software Design.",Software Architecture & Design,https://www.udacity.com/course/software-architecture-design--ud821
,School of Development,['Karl Krueger'],Full Stack Web Developer,beginner,"['Shell, ', 'Using Terminal, ', 'Running command-line programs, ', 'Customizing Shell']","A quick, one-lesson introduction to the Unix-style command-line environment., This course is intended to get you up to speed on the shell — using a terminal, managing files and directories, and running command-line programs.",Shell Workshop,https://www.udacity.com/course/shell-workshop--ud206
,School of Development,['Steve Huffman'],Full Stack Web Developer,intermediate,"['User Input, ', 'Producing templated output, ', 'Databases and data stores, ', 'Secure user account systems']","This course is a selection of material from our larger Web Development course., This course presents an overview of a variety of Web backend topics: handling user input, producing templated output, storing information in databases and data stores, and building systems with secure user accounts.",Intro to Backend,https://www.udacity.com/course/intro-to-backend--ud171
Collaboration WithGeorgia Institute of Technology,School of Development,"['Alex Orso', 'Sarah Spikes']",Intro to Self-Driving Cars,intermediate,"['Software Development Life Cycle, ', 'Requirements Engineering, ', 'Design Patterns, ', 'Black-Box & White-Box Testing, ', 'Agile Development Methodology']","This class is offered as CS6300 at Georgia Tech where it is a part of the Online Masters Degree (OMS). Taking this course here will not earn credit towards the OMS degree., In SDP, you will learn how to select and implement the ideal software process for your development project. Through Professor Orso's engaging examples and interviews with industry insiders, you will learn both conceptual and practical aspects of software engineering. The course covers requirements engineering, architecture and design, testing and maintenance, and software quality in general. , The goal of this class is to equip you with the skills necessary to define requirements, set up an integrated development environment (IDE), learn Git (and Github!) and use Unified Modeling Language (UML) to design and build an Android application. We will also examine several testing practices and refactoring techniques that are helpful before the launch of your software project. , While everyone working with software should have these skills, they are particularly important for Software Engineers and Engineering Managers.",Software Development Process,https://www.udacity.com/course/software-development-process--ud805
"Collaboration WithGoogle, Gradle",School of Development,"['Jeremy Silver', 'Mark Vieira']",Android Developer,advanced,"['Android, ', 'Gradle, ', 'Java']","This course explores how the Gradle build tool compiles and packages apps, and you'll learn to customize the build process. The first half of this course is for anyone interested in Gradle, build automation, and continuous delivery of software., The latter half of the course reveals the magic that happens after you hit the ""Run"" button in Android Studio. You'll also explore advanced Android topics, learning to configure free vs paid app flavors, create and integrate Android libraries, test your app, and prepare your app for the Play Store.",Gradle for Android and Java,https://www.udacity.com/course/gradle-for-android-and-java--ud867
Collaboration WithAlteryx,School of Business,['Patrick Nussbaumer'],Business Analyst,beginner,['Linear Regression'],"The Problem Solving with Analytics course provides students with the foundational knowledge to use data analytics to create business insights. 
You will learn: 
 To apply a useful framework to solve a business problem
 To determine which analytical method to apply given the nature of the problem and available data
 To use linear regression to generate business insights , Throughout this course you’ll also learn the techniques to apply your knowledge in a data analytics program called Alteryx. At the end of the course, you’ll complete a project based on the principles in the course., This course is part of the Business Analyst Nanodegree.",Problem Solving with Advanced Analytics,https://www.udacity.com/course/problem-solving-with-advanced-analytics--ud976
Collaboration WithGoogle VR,School of Development,"['Matt Sonic', 'Vasanth Mohan']",VR Developer,beginner,"['VR development, ', 'Unity, ', 'Google VR SDK for Unity, ', 'General understanding of how VR works, ', 'Deploying to Android and iOS']","This course is designed for students who are new to virtual reality and want to learn about the principles of VR technology including optics, displays, stereopsis, tracking, and major hardware platforms. You don’t need any programming experience to get started. , By the end of this course, you will have created and deployed a VR application. You will understand the physical principles of VR and you will use that knowledge to create a comfortable, high-performance VR application using Unity.",Introduction to Virtual Reality,https://www.udacity.com/course/introduction-to-virtual-reality--ud1012
Collaboration WithZipfian,School of Artificial Intelligence,"['Ryan Orban', 'Chris Saden', 'Jonathan Dinu']",Data Analyst,intermediate,"['d3.js, ', 'Design of Visualizations, ', 'Data Visualization, ', 'Visual Encodings']","Learn the fundamentals of data visualization and practice communicating with data. This course covers how to apply design principles, human perception, color theory, and effective storytelling to data visualization. If you present data to others, aspire to be an analyst or data scientist, or if you’d like to become more technical with visualization tools, then you can grow your skills with this course., The course does not cover exploratory approaches to discover insights about data. Instead, the course focuses on how to visually encode and present data to an audience once an insight has been found., This course is part of the Data Analyst Nanodegree.",Data Visualization and D3.js,https://www.udacity.com/course/data-visualization-and-d3js--ud507
,,,Digital Marketing,beginner,,"This course is a part of the Digital Marketing Nanodegree Program., Becoming a digital marketer is a journey - let us be your guide. In this course, we give you a framework to  help you organize and plan your marketing approach. We also introduce you to three companies that are featured  throughout the Digital Marketing Nanodegree as examples of how to apply what you learn in both B2C and  B2B contexts.   ",Digital Marketing Fundamentals,https://www.udacity.com/course/digital-marketing-fundamentals--cx11
Collaboration WithHubSpot,,,Digital Marketing,beginner,,"This course is a part of the Digital Marketing Nanodegree Program., Content is at the core of all marketing activity. In this course you learn how to plan your content marketing, how to develop content that works well for your target audience, and how to measure its impact.",Content Marketing Essentials,https://www.udacity.com/course/content-marketing-essentials--cx12
Collaboration WithHootsuite,,,Digital Marketing,beginner,,"This course is a part of the Digital Marketing Nanodegree Program., Social Media is a powerful channel for marketers. In this course, you learn more about the main social media platforms, how to manage your social media presence, and how to create effective content for each platform.",Social Media Marketing,https://www.udacity.com/course/social-media-marketing--cx13
Collaboration WithGoogle,School of Development,"['Laurence Moroney', 'Jocelyn Becker', 'Magnus Hyttsten', 'Jay Harman']",Android Developer,intermediate,"['Android, ', 'Google Sign-in']","In this course, you'll learn how to use Google’s Identity Platform to allow users to sign-in using their Google credentials, and how to access data that they grant you permission to access. , This course is part of the Google Play Services series, which features a  variety of different Google APIs. Designed as standalone short courses, you can take any course on its own, or take them all!",Add Google Sign-In to your Android Apps,https://www.udacity.com/course/add-google-sign-in-to-your-android-apps--ud876-5
Collaboration WithGoogle,School of Development,"['Laurence Moroney', 'Jocelyn Becker', 'Magnus Hyttsten', 'Jay Harman']",Android Developer,intermediate,"['Android, ', 'Location Services, ', 'Google Play Services, ', 'StreetView']","In this course, you’ll learn everything from how to add maps to your Android app, to how to build a virtual hike down the Grand Canyon!, This course is part of the Google Play Services series, which features a  variety of different Google APIs. Designed as standalone short courses, you can take any course on its own, or take them all!",Add Google Maps to your Android App,https://www.udacity.com/course/add-google-maps-to-your-android-app--ud876-4
,,,,beginner,,,Flying Car Nanodegree Preview,https://www.udacity.com/course/ud787-preview
Collaboration WithFacebook,,,Digital Marketing,beginner,,"This course is a part of the Digital Marketing Nanodegree Program., Cutting through the noise in Social Media can be challenging, and often, marketers must use paid social media marketing strategies to amplify their message. In this course, you learn about the opportunities for targeted advertising in social media and how to execute advertising campaigns that resonate with your audience. ",Social Media Advertising,https://www.udacity.com/course/social-media-advertising--cx14
Collaboration WithMoz,,,Digital Marketing,beginner,,"This course is a part of the Digital Marketing Nanodegree Program., Search engines are an essential part of the online experience. Learn how to use SEO to optimize your search engine presence through on-site and off-site activities, including how to develop your target keyword list, optimize your website UX and design, and execute a link building campaign.",Search Engine Optimization (SEO),https://www.udacity.com/course/search-engine-optimization--cx15
Collaboration WithGoogle,School of Development,"['Magnus Hyttsten', 'Jocelyn Becker', 'Laurence Moroney', 'Jay Harman']",Android Developer,intermediate,"['Android, ', 'App Monetization, ', 'AdMob']","In this course, you will learn how to monetize apps using Google's AdMob to display banner and interstitial ads., This course is part of the Google Play Services series, which features a  variety of different Google APIs. Designed as standalone short courses, you can take any course on its own, or take them all!",Monetize Your Android App with Ads,https://www.udacity.com/course/monetize-your-android-app-with-ads--ud876-3
"Collaboration WithMercedes, Nvidia, Uber ATG, Didi, BMW, McLaren",,,,beginner,,,Self Driving Car Engineer Nanodegree Preview,https://www.udacity.com/course/ud013-preview
Collaboration WithGoogle,,,Digital Marketing,beginner,,"This course is a part of the Digital Marketing Nanodegree Program., Optimizing visibility in search engine results is an essential part of Digital Marketing. Reinforcing findability through Search Engine Marketing (SEM) is an effective tactic to achieve your marketing objectives. In this  course, you learn how to create, execute, and optimize an effective ad campaign using AdWords by Google.  ",Search Engine Marketing with AdWords (SEM),https://www.udacity.com/course/search-engine-marketing-adwords--cx16
"Collaboration WithFacebook Blueprint, Google, Hootsuite, HubSpot, MailChimp, Moz",,,,beginner,,,Digital Marketing Nanodegree Preview,https://www.udacity.com/course/ud018-preview
Collaboration WithGoogle,,,Digital Marketing,beginner,,"This course is a part of the Digital Marketing Nanodegree Program., Display advertising was the first form of advertising on the web. It's still a powerful marketing tool, strengthened by new platforms like mobile, new video opportunities, and enhanced targeting. In this course, you learn how display advertising works, how it is bought and sold (including in a programmatic environment),  and how to set up a display advertising campaign using Google’s AdWords",Display Advertising,https://www.udacity.com/course/display-advertising--cx17
Collaboration WithGoogle,School of Development,"['Jocelyn Becker', 'Magnus Hyttsten', 'Laurence Moroney', 'Jay Harman']",Android Developer,intermediate,"['Android, ', 'Google Analytics, ', 'Tag Manager']","Where in the world are people using your app? Which activities do they use most? How do they navigate through your app? Take this course to learn how to add code to your mobile app to send usage data to Google Analytics, and get answers to questions like these., This course also covers how to use Google Tag Manager to send updated information to your app without needing to redeploy the APK, and to manage all your Google Analytics tags., This course is part of the Google Play Services series, which features a  variety of different Google APIs. Designed as standalone short courses, you can take any course on its own, or take them all!",Google Analytics for Android,https://www.udacity.com/course/google-analytics-for-android--ud876-2
Collaboration WithMailChimp,,,Digital Marketing,beginner,,"This course is a part of the Digital Marketing Nanodegree Program., Email is an effective marketing channel, especially at the conversion and retention stage of the customer journey. In this course, you learn how to create an email marketing strategy, create and execute email  campaigns, and measure the results. ",Email Marketing,https://www.udacity.com/course/email-marketing--cx18
Collaboration WithGoogle,,,Digital Marketing,beginner,,"This course is a part of the Digital Marketing Nanodegree Program., Measurability is what makes Digital Marketing uniquely powerful. Actions online can be tracked, and so can  the effect of your digital marketing and advertising efforts. In this course, you'll learn how to use Google  Analytics to evaluate your audience, measure the success of your acquisition, engagement efforts, evaluate your user’s conversions to your goals, and use those insights to plan and optimize your marketing budgets.",Measure & Optimize with Google Analytics,https://www.udacity.com/course/measure-optimize-with-google-analytics--cx19
Collaboration WithGoogle,School of Development,"['Laurence Moroney', 'Jocelyn Becker', 'Magnus Hyttsten', 'Jay Harman']",Android Developer,intermediate,"['Android, ', 'Location Services, ', 'Google Play, ', 'Geofencing']","Vitally important for building the best possible mobile app, the Location and Context API allows your Android app behavior to change based on location. , In this course, you’ll learn how to implement this with the Fused Location Provider, which gives you much more than simple GPS. You’ll also learn about Activity recognition, which allows you to tailor your app to what the user is doing. Finally, you’ll learn about Geofencing, and how location services work alongside geofences to allow you to build apps that could be used for augmented reality!, This course is part of the Google Play Services series, which features a  variety of different Google APIs. Designed as standalone short courses, you can take any course on its own, or take them all!",Google Location Services on Android,https://www.udacity.com/course/google-location-services-on-android--ud876-1
,,['Mat Leonard'],Deep Learning,advanced,,"This course is a part of the Deep Learning Nanodegree Program., Generative Adversarial Networks (GANs) have revolutionized deep learning by accurately modeling real world data better than any model developed before. You'll learn from Ian Goodfellow, the inventor of GANs, how to build a generative model and use them to create realistic images.",Deep Learning - Generative Adversarial Networks,https://www.udacity.com/course/generative-adversarial-networks--cx20
Collaboration WithGoogle,School of Development,"['Timothy Jordan', 'Wayne Piekarski', 'Joshua Gordon', 'James Williams']",Android Developer,advanced,"['Android, ', 'Auto Development, ', 'Ubiquitous Computing']","Reach your users while they're out and about by extending your Media or Messaging app to Android Auto! As you'll learn in this course, making your app available in the car is as easy as extending your existing code. This course explains how to get started and then covers Media and Messaging apps in detail., This course is part of the Ubiquitous Computing series. Designed as standalone short courses, you can take any course on its own, or take them all!",Android Auto Development,https://www.udacity.com/course/android-auto-development--ud875C
"Collaboration WithTableau, Mode",,,,beginner,,,Data Foundations Nanodegree Preview,https://www.udacity.com/course/ud100-preview
